timestamp,lidar_right,lidar_front_right,lidar_front,lidar_left,odom_linear_x,odom_angular_z,pos_x,pos_y,cmd_linear_x,cmd_angular_z,imu_angular_z,imu_accel_x,imu_accel_y,wheel_speed_0,wheel_speed_1,wheel_speed_2,wheel_speed_3,action_label
2026-07-04 14:28:30.580,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,idle
2026-07-04 14:28:30.679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,idle
2026-07-04 14:28:30.779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,idle
2026-07-04 14:28:30.879,0.0,0.0,0.0,0.0,-0.0,-0.0,-1.3292,1.7999,0.0,0.0,0.0043,0.0,0.2012,0.0,0.0,0.0,0.0,idle
2026-07-04 14:28:30.979,0.0,0.0,0.0,0.0,-0.0,-0.0,-1.3292,1.7999,0.0,0.0,0.0053,-0.0479,0.7951,0.0,0.0,0.0,0.0,idle
2026-07-04 14:28:31.079,0.329,0.302,2.694,2.831,-0.0,-0.0,-1.3292,1.7999,0.0,0.0,-0.0288,-0.1341,0.661,0.0,0.0,0.0,0.0,idle
2026-07-04 14:28:31.179,0.325,0.299,2.697,2.823,0.0,-0.0029,-1.3292,1.7999,0.0,0.0,0.2983,-0.6898,1.6861,0.0,0.0,0.0,0.0,searching_wall
2026-07-04 14:28:31.280,0.321,0.328,2.696,2.822,-0.0025,-0.0009,-1.3266,1.8015,0.0,0.0,2.105,-0.0766,1.0251,0.0,0.0,0.0,0.0,searching_wall
2026-07-04 14:28:31.379,0.346,0.291,2.696,2.809,-0.0071,-0.0006,-1.3228,1.8071,0.0,0.0,1.7044,-0.1054,0.7089,0.0,0.0,0.0,0.0,searching_wall
2026-07-04 14:28:31.479,0.345,0.301,2.706,2.806,-0.0065,0.0016,-1.3205,1.8157,0.0,0.0,2.0517,0.0766,0.0,0.0,0.0,0.0,0.0,searching_wall
2026-07-04 14:28:31.579,0.363,0.31,2.718,2.802,-0.0009,0.0005,-1.3209,1.8196,0.0,0.0,1.9079,0.2299,-0.2778,0.0,0.0,0.0,0.0,searching_wall
2026-07-04 14:28:31.679,0.362,0.308,2.712,2.804,0.0069,-0.0011,-1.3186,1.8163,0.0,0.0,1.9526,0.364,-0.4311,0.0,0.0,0.0,0.0,searching_wall
2026-07-04 14:28:31.779,0.356,0.322,2.702,2.793,0.0132,-0.0013,-1.3094,1.8098,0.0,0.0,1.9601,0.6993,-0.1341,0.0,0.0,0.0,0.0,searching_wall
2026-07-04 14:28:31.879,0.39,0.415,2.701,2.777,0.0074,-0.0,-1.2924,1.8053,0.0,0.0,1.2048,0.4694,0.0096,0.0,0.0,0.0,0.0,searching_wall
2026-07-04 14:28:31.979,0.393,0.421,2.692,2.756,0.0048,0.0008,-1.2732,1.8047,0.0,0.0,0.6967,0.2299,-0.1533,0.0,0.0,0.0,0.0,searching_wall
2026-07-04 14:28:32.079,0.417,0.421,2.688,2.732,0.0031,-0.0,-1.254,1.8068,0.0,0.0,0.4346,0.1533,0.479,0.0,0.0,0.0,0.0,searching_wall
2026-07-04 14:28:32.179,0.427,0.948,2.678,2.713,0.0019,0.0002,-1.2342,1.8106,0.0,0.0,0.2727,-0.0287,0.5556,0.0,0.0,0.0,0.0,searching_wall
2026-07-04 14:28:32.279,0.44,1.344,2.672,2.689,0.0012,-0.0009,-1.2149,1.8153,0.0,0.0,0.0703,-0.1629,0.182,0.0,0.0,0.0,0.0,searching_wall
2026-07-04 14:28:32.379,0.473,1.383,2.678,2.673,0.0007,0.0005,-1.1969,1.8203,0.0,0.0,0.0597,0.0,1.1879,0.0,0.0,0.0,0.0,searching_wall
2026-07-04 14:28:32.479,0.483,1.421,2.671,2.652,0.0005,0.0002,-1.1777,1.826,0.0,0.0,0.0852,-0.1341,1.0346,0.0,0.0,0.0,0.0,searching_wall
2026-07-04 14:28:32.579,0.515,1.458,2.679,2.636,0.0002,-0.0015,-1.1586,1.8319,0.0,0.0,0.0969,-0.0096,0.364,0.0,0.0,0.0,0.0,searching_wall
2026-07-04 14:28:32.679,0.524,1.475,2.679,2.609,0.0001,-0.0006,-1.1385,1.8384,0.0,0.0,-0.0181,-0.2012,-0.5365,0.0,0.0,0.0,0.0,searching_wall
2026-07-04 14:28:32.779,0.547,1.505,2.692,2.597,0.0001,0.0003,-1.1197,1.8445,0.0,0.0,0.0415,0.0,-0.1245,0.0,0.0,0.0,0.0,searching_wall
2026-07-04 14:28:32.879,0.564,1.535,2.692,2.572,0.0,-0.0001,-1.1006,1.8507,0.0,0.0,-0.0032,0.0479,0.3545,0.0,0.0,0.0,0.0,searching_wall
2026-07-04 14:28:32.979,0.593,1.57,2.693,2.557,-0.0,-0.0002,-1.0816,1.857,0.0,0.0,0.0128,-0.0287,1.255,0.0,0.0,0.0,0.0,searching_wall
2026-07-04 14:28:33.079,0.597,1.603,2.696,2.538,-0.0,0.0009,-1.0627,1.8632,0.0,0.0,0.0256,0.0,0.4215,0.0,0.0,0.0,0.0,searching_wall
2026-07-04 14:28:33.179,0.621,1.631,2.696,2.511,-0.0,0.0001,-1.0439,1.8694,0.0,0.0,0.0,0.0766,0.2874,0.0,0.0,0.0,0.0,searching_wall
2026-07-04 14:28:33.279,0.639,1.67,2.687,2.489,-0.0,0.0021,-1.0248,1.8757,0.0,0.0,0.0256,-0.2874,0.3257,0.0,0.0,0.0,0.0,searching_wall
2026-07-04 14:28:33.379,0.662,1.691,2.693,2.466,-0.0,-0.0023,-1.0058,1.882,0.0,0.0,0.0117,-0.2299,0.9963,0.0,0.0,0.0,0.0,searching_wall
2026-07-04 14:28:33.479,0.673,1.728,2.696,2.45,-0.0,0.0006,-0.9879,1.8879,0.0,0.0,-0.016,-0.0671,0.1916,0.0,0.0,0.0,0.0,searching_wall
