timestamp,lidar_right,lidar_front_right,lidar_front,lidar_left,odom_linear_x,odom_angular_z,pos_x,pos_y,cmd_linear_x,cmd_angular_z,imu_angular_z,imu_accel_x,imu_accel_y,wheel_speed_0,wheel_speed_1,wheel_speed_2,wheel_speed_3,action_label
2026-07-04 14:04:55.235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,idle
2026-07-04 14:04:55.335,1.442,3.271,65.533,1.225,-0.0,0.0,-0.286,0.5809,0.1,0.0,0.0714,-0.0096,0.3736,0.0,0.0,0.0,0.0,approaching_wall
2026-07-04 14:04:55.435,1.454,3.279,65.533,1.212,0.0001,0.0012,-0.2859,0.5812,0.1,0.0,-1.9484,-0.3545,3.2093,0.0,0.0,0.0,0.0,approaching_wall
2026-07-04 14:04:55.535,1.391,3.275,65.533,1.219,0.0033,-0.0005,-0.2829,0.5852,0.1,0.0,-0.6061,-0.1629,-0.2874,0.0,0.0,0.0,0.0,approaching_wall
2026-07-04 14:04:55.635,1.379,3.286,65.533,1.204,0.0085,0.0002,-0.2734,0.5945,0.1,0.0,-0.5625,-0.0575,-0.6323,0.0,0.0,0.0,0.0,approaching_wall
2026-07-04 14:04:55.735,1.332,3.316,65.533,1.192,0.0107,0.0008,-0.2593,0.6065,0.1,0.0,0.2386,0.1341,-0.5173,0.0,0.0,0.0,0.0,approaching_wall
2026-07-04 14:04:55.835,1.297,3.343,65.533,1.165,0.0115,0.0004,-0.2421,0.6214,0.1,0.0,0.2791,0.1533,-0.5365,0.0,0.0,0.0,0.0,approaching_wall
2026-07-04 14:04:55.935,1.284,3.39,65.533,1.151,0.0125,-0.0008,-0.2229,0.6402,0.1,0.0,0.2674,0.6035,-0.594,0.0,0.0,0.0,0.0,approaching_wall
2026-07-04 14:04:56.035,1.313,3.436,65.533,1.115,0.0123,-0.0021,-0.202,0.6633,0.1,0.0,0.1726,-0.4886,0.6035,0.0,0.0,0.0,0.0,approaching_wall
2026-07-04 14:04:56.135,1.336,3.488,65.533,1.089,0.0119,0.0008,-0.1823,0.6872,0.1,0.0,0.1928,0.0096,0.2012,0.0,0.0,0.0,0.0,approaching_wall
2026-07-04 14:04:56.235,1.369,3.528,65.533,1.058,0.0101,-0.0013,-0.1633,0.7117,0.1,0.0,0.0479,0.0479,0.1437,0.0,0.0,0.0,0.0,approaching_wall
2026-07-04 14:04:56.335,1.39,3.585,65.533,1.041,0.0102,0.0008,-0.1443,0.7369,0.1,0.0,0.0415,0.0671,0.5077,0.0,0.0,0.0,0.0,approaching_wall
2026-07-04 14:04:56.436,1.434,3.611,65.533,1.007,0.0103,0.0009,-0.1254,0.7625,0.1,0.0,0.0,0.115,1.073,0.0,0.0,0.0,0.0,approaching_wall
2026-07-04 14:04:56.536,1.475,3.633,65.533,0.972,0.0092,-0.0002,-0.1061,0.789,0.1,0.0,0.0021,0.182,-0.1533,0.0,0.0,0.0,0.0,approaching_wall
2026-07-04 14:04:56.635,1.494,3.651,65.533,0.936,0.0102,0.0001,-0.0886,0.8133,0.1,0.0,0.0437,0.2587,-0.0383,0.0,0.0,0.0,0.0,approaching_wall
2026-07-04 14:04:56.735,1.513,3.646,65.533,0.906,0.01,0.0003,-0.0691,0.8403,0.1,0.0,0.0107,-0.1437,-0.1533,0.0,0.0,0.0,0.0,approaching_wall
2026-07-04 14:04:56.836,1.541,7.36,65.533,0.882,0.0107,-0.0026,-0.0509,0.8658,0.1,0.0,0.0565,0.0862,0.9293,0.0,0.0,0.0,0.0,approaching_wall
2026-07-04 14:04:56.935,1.59,7.362,65.533,0.853,0.0103,-0.0001,-0.0334,0.8903,0.1,0.0,0.0447,-0.2395,0.479,0.0,0.0,0.0,0.0,approaching_wall
2026-07-04 14:04:57.035,1.617,7.465,65.533,0.818,0.0087,0.0006,-0.015,0.9161,0.1,0.0,0.0245,0.0575,0.0575,0.0,0.0,0.0,0.0,approaching_wall
2026-07-04 14:04:57.135,1.637,7.446,65.533,0.785,0.0091,-0.0002,0.0011,0.9382,0.1,0.0,0.0181,0.1341,2.0118,0.0,0.0,0.0,0.0,approaching_wall
2026-07-04 14:04:57.236,1.671,65.533,65.533,0.764,0.0085,-0.0015,0.016,0.958,0.1,0.0,-0.147,-0.0383,0.8909,0.0,0.0,0.0,0.0,approaching_wall
2026-07-04 14:04:57.335,1.695,65.533,65.533,0.738,0.0088,-0.0005,0.0298,0.9752,0.1,0.0,-0.1257,-0.0192,0.0096,0.0,0.0,0.0,0.0,approaching_wall
2026-07-04 14:04:57.435,1.73,65.533,65.533,0.72,0.0084,0.0,0.0449,0.9933,0.1,0.0,-0.0639,-0.0383,0.3353,0.0,0.0,0.0,0.0,approaching_wall
2026-07-04 14:04:57.535,1.786,65.533,5.776,0.696,0.0079,-0.0,0.0577,1.0076,0.1,0.0,-0.1577,0.0287,1.3316,0.0,0.0,0.0,0.0,approaching_wall
2026-07-04 14:04:57.635,1.81,7.705,5.767,0.686,0.009,-0.0018,0.0702,1.0207,0.1,0.0,-0.3281,0.0096,0.6035,0.0,0.0,0.0,0.0,approaching_wall
2026-07-04 14:04:57.735,1.869,7.742,5.853,0.662,0.0092,0.001,0.0827,1.0325,0.1,0.0,-0.1566,0.0096,0.6323,0.0,0.0,0.0,0.0,approaching_wall
2026-07-04 14:04:57.835,2.429,7.802,5.784,0.65,0.0079,0.0006,0.0959,1.0442,0.1,0.0,-0.2567,0.0766,0.7664,0.0,0.0,0.0,0.0,approaching_wall
2026-07-04 14:04:57.935,2.482,7.78,5.749,0.633,0.0086,0.0013,0.1073,1.0537,0.1,0.0,-0.115,-0.0671,0.2587,0.0,0.0,0.0,0.0,wall_following
2026-07-04 14:04:58.035,2.545,7.844,65.533,0.622,0.0077,0.0016,0.1194,1.0632,0.1,0.0,-0.1587,0.0575,0.843,0.0,0.0,0.0,0.0,wall_following
2026-07-04 14:04:58.135,2.668,7.842,65.533,0.614,0.0076,-0.0007,0.1304,1.0712,0.1,0.0,-0.277,-0.0575,0.3832,0.0,0.0,0.0,0.0,wall_following
2026-07-04 14:04:58.235,2.995,7.835,65.533,0.604,0.0085,0.0011,0.1409,1.0782,0.1,0.0,-0.2099,-0.0766,0.2682,0.0,0.0,0.0,0.0,wall_following
2026-07-04 14:04:58.335,3.009,7.871,65.533,0.589,0.0091,0.0,0.1515,1.0848,0.1,0.0,-0.2855,-0.1916,-0.3161,0.0,0.0,0.0,0.0,wall_following
2026-07-04 14:04:58.435,3.023,7.836,65.533,0.585,0.0081,0.0005,0.1627,1.0911,0.1,0.0,-0.1321,0.115,1.0442,0.0,0.0,0.0,0.0,wall_following
2026-07-04 14:04:58.536,3.032,7.825,65.533,0.575,0.0085,-0.0002,0.1723,1.0962,0.1,0.0,-0.1683,0.0192,0.2587,0.0,0.0,0.0,0.0,wall_following
