timestamp,lidar_right,lidar_front_right,lidar_front,lidar_left,odom_linear_x,odom_angular_z,pos_x,pos_y,cmd_linear_x,cmd_angular_z,imu_angular_z,imu_accel_x,imu_accel_y,wheel_speed_0,wheel_speed_1,wheel_speed_2,wheel_speed_3,action_label
2026-07-04 13:52:05.230,1.692,3.025,5.674,1.225,0.0002,0.0006,0.0,0.0,0.1,0.0,0.7393,-0.0096,-2.7112,0.0,0.0,0.0,0.0,approaching_wall
2026-07-04 13:52:05.330,1.673,3.034,5.708,1.233,0.0054,0.0003,0.0022,0.0007,0.1,0.0,2.5215,0.4024,0.6898,0.0,0.0,0.0,0.0,approaching_wall
2026-07-04 13:52:05.430,1.654,3.034,5.687,1.229,0.0111,-0.006,0.0114,0.0045,0.1,0.0,1.241,0.1916,-0.4311,0.0,0.0,0.0,0.0,approaching_wall
2026-07-04 13:52:05.530,1.321,3.016,5.633,1.233,0.0113,-0.0036,0.026,0.0135,0.1,0.0,1.1824,0.7185,0.0479,0.0,0.0,0.0,0.0,approaching_wall
2026-07-04 13:52:05.630,1.222,3.016,5.638,1.219,0.0123,-0.0043,0.0401,0.0265,0.1,0.0,0.7382,0.3832,-0.7856,0.0,0.0,0.0,0.0,approaching_wall
2026-07-04 13:52:05.731,1.2,3.019,5.599,1.189,0.0139,-0.0025,0.0557,0.0457,0.1,0.0,0.669,0.3928,0.1724,0.0,0.0,0.0,0.0,approaching_wall
2026-07-04 13:52:05.830,1.211,3.029,5.648,1.182,0.0131,-0.0012,0.0709,0.0696,0.1,0.0,0.5763,0.2108,-0.5461,0.0,0.0,0.0,0.0,approaching_wall
2026-07-04 13:52:05.930,1.249,3.096,5.58,1.144,0.0161,-0.0017,0.0858,0.0983,0.1,0.0,0.3249,0.4024,0.3545,0.0,0.0,0.0,0.0,approaching_wall
2026-07-04 13:52:06.030,1.288,3.128,5.578,1.116,0.0131,0.0019,0.0985,0.1266,0.1,0.0,0.0884,-0.4311,0.3832,0.0,0.0,0.0,0.0,approaching_wall
2026-07-04 13:52:06.130,1.319,3.181,5.524,1.091,0.0103,-0.001,0.1111,0.157,0.1,0.0,0.0692,0.0479,-0.5365,0.0,0.0,0.0,0.0,approaching_wall
2026-07-04 13:52:06.230,1.351,3.226,5.518,1.056,0.013,-0.0001,0.1227,0.1869,0.1,0.0,-0.0309,-0.0383,0.1054,0.0,0.0,0.0,0.0,approaching_wall
2026-07-04 13:52:06.330,1.368,3.255,5.386,1.023,0.0119,0.0008,0.1332,0.2148,0.1,0.0,0.0181,0.1245,-0.0862,0.0,0.0,0.0,0.0,approaching_wall
2026-07-04 13:52:06.430,1.394,3.294,5.43,0.991,0.0119,0.0006,0.1445,0.2459,0.1,0.0,0.065,-0.115,-0.1724,0.0,0.0,0.0,0.0,approaching_wall
2026-07-04 13:52:06.530,1.424,3.334,5.436,0.965,0.0088,0.0002,0.1547,0.2739,0.1,0.0,0.049,0.2874,0.2587,0.0,0.0,0.0,0.0,approaching_wall
2026-07-04 13:52:06.630,1.454,3.387,5.398,0.934,0.0118,0.0029,0.1655,0.3038,0.1,0.0,-0.0128,-0.1437,1.2263,0.0,0.0,0.0,0.0,approaching_wall
2026-07-04 13:52:06.730,1.471,3.43,5.444,0.907,0.0087,-0.0008,0.176,0.3333,0.1,0.0,0.0788,0.2587,-0.4598,0.0,0.0,0.0,0.0,approaching_wall
2026-07-04 13:52:06.830,1.504,3.469,5.447,0.879,0.0092,-0.0005,0.1866,0.3629,0.1,0.0,0.0639,0.297,0.7185,0.0,0.0,0.0,0.0,approaching_wall
2026-07-04 13:52:06.930,1.523,3.508,5.449,0.85,0.0092,0.0012,0.1972,0.3927,0.1,0.0,0.0117,0.4407,-0.0862,0.0,0.0,0.0,0.0,approaching_wall
2026-07-04 13:52:07.030,1.539,3.558,5.493,0.821,0.0084,-0.0022,0.2075,0.4216,0.1,0.0,-0.0639,-0.1054,1.2837,0.0,0.0,0.0,0.0,approaching_wall
2026-07-04 13:52:07.130,1.569,3.587,5.527,0.787,0.0107,0.0013,0.2173,0.4487,0.1,0.0,-0.1417,-0.0766,0.3545,0.0,0.0,0.0,0.0,approaching_wall
2026-07-04 13:52:07.230,1.612,3.627,5.495,0.77,0.0081,-0.0019,0.2267,0.4736,0.1,0.0,-0.0905,0.0575,-0.115,0.0,0.0,0.0,0.0,approaching_wall
2026-07-04 13:52:07.330,1.645,3.65,65.533,0.744,0.01,-0.0015,0.2359,0.4968,0.1,0.0,-0.0511,0.2299,1.2358,0.0,0.0,0.0,0.0,approaching_wall
2026-07-04 13:52:07.430,1.664,3.679,65.533,0.721,0.0077,0.0001,0.2446,0.5172,0.1,0.0,-0.2035,0.1054,0.8814,0.0,0.0,0.0,0.0,approaching_wall
2026-07-04 13:52:07.530,1.696,3.689,65.533,0.703,0.0094,0.0005,0.2538,0.5371,0.1,0.0,-0.2322,-0.115,0.3928,0.0,0.0,0.0,0.0,approaching_wall
2026-07-04 13:52:07.631,1.705,3.69,65.533,0.692,0.0072,0.0,0.2624,0.5545,0.1,0.0,-0.1193,-0.0766,0.0766,0.0,0.0,0.0,0.0,approaching_wall
2026-07-04 13:52:07.730,1.72,3.694,65.533,0.681,0.0072,-0.0001,0.2705,0.5697,0.1,0.0,-0.0959,0.0,0.8622,0.0,0.0,0.0,0.0,approaching_wall
2026-07-04 13:52:07.830,1.743,3.704,65.533,0.654,0.0073,0.0004,0.279,0.5846,0.1,0.0,-0.1417,-0.0671,1.6957,0.0,0.0,0.0,0.0,approaching_wall
2026-07-04 13:52:07.930,1.749,3.696,65.533,0.645,0.0071,0.0004,0.2874,0.5983,0.1,0.0,-0.2109,-0.1916,0.5844,0.0,0.0,0.0,0.0,approaching_wall
2026-07-04 13:52:08.030,1.774,65.533,65.533,0.634,0.0092,0.0018,0.2962,0.6118,0.1,0.0,-0.1566,0.0,0.1724,0.0,0.0,0.0,0.0,wall_following
2026-07-04 13:52:08.130,1.788,7.087,65.533,0.625,0.0094,0.0008,0.3041,0.6231,0.1,0.0,-0.2887,-0.0671,-0.2299,0.0,0.0,0.0,0.0,wall_following
2026-07-04 13:52:08.230,1.824,4.97,65.533,0.608,0.0071,0.0001,0.3123,0.6341,0.1,0.0,-0.1214,0.1245,0.5844,0.0,0.0,0.0,0.0,wall_following
