timestamp,lidar_right,lidar_front_right,lidar_front,lidar_left,odom_linear_x,odom_angular_z,pos_x,pos_y,cmd_linear_x,cmd_angular_z,imu_angular_z,imu_accel_x,imu_accel_y,wheel_speed_0,wheel_speed_1,wheel_speed_2,wheel_speed_3,action_label
2026-07-04 14:06:45.859,0.0,0.0,0.0,0.0,0.0,0.0,-0.3548,0.9038,0.0,0.0,0.0085,-0.1054,0.0958,0.0,0.0,0.0,0.0,idle
2026-07-04 14:06:45.959,1.363,3.258,65.533,1.221,0.0002,0.0005,-0.3549,0.9038,0.1,0.0,-0.7105,-0.4886,3.3434,0.0,0.0,0.0,0.0,approaching_wall
2026-07-04 14:06:46.059,1.378,3.276,65.533,1.209,0.001,0.0034,-0.3538,0.9026,0.1,0.0,-2.4661,-0.0192,-0.0766,0.0,0.0,0.0,0.0,approaching_wall
2026-07-04 14:06:46.159,1.356,3.277,65.533,1.205,-0.0,-0.0005,-0.3532,0.9008,0.1,0.0,-1.8323,0.1916,-0.0671,0.0,0.0,0.0,0.0,approaching_wall
2026-07-04 14:06:46.259,1.328,3.278,65.533,1.204,-0.0033,0.0001,-0.3524,0.9058,0.1,0.0,-1.9505,-0.0671,-1.4753,0.0,0.0,0.0,0.0,approaching_wall
2026-07-04 14:06:46.359,1.31,3.311,65.533,1.189,0.0005,0.0012,-0.3443,0.9219,0.1,0.0,-1.2474,-0.9197,-1.073,0.0,0.0,0.0,0.0,approaching_wall
2026-07-04 14:06:46.459,1.286,3.348,65.533,1.16,0.0042,0.0017,-0.3288,0.9412,0.1,0.0,-0.5358,-0.2203,-0.0862,0.0,0.0,0.0,0.0,approaching_wall
2026-07-04 14:06:46.559,1.287,3.382,65.533,1.136,0.0061,0.0002,-0.3158,0.9549,0.1,0.0,-0.2706,-0.1916,0.5461,0.0,0.0,0.0,0.0,approaching_wall
2026-07-04 14:06:46.659,1.325,3.452,65.533,1.107,0.0076,-0.0009,-0.2842,0.9847,0.1,0.0,-0.1214,-0.2587,0.5173,0.0,0.0,0.0,0.0,approaching_wall
2026-07-04 14:06:46.759,1.363,3.499,65.533,1.078,0.0092,0.0008,-0.2605,1.0057,0.1,0.0,-0.0916,-0.1629,1.2071,0.0,0.0,0.0,0.0,approaching_wall
2026-07-04 14:06:46.859,1.384,3.548,65.533,1.041,0.0089,-0.002,-0.2369,1.0258,0.1,0.0,-0.0383,0.3928,0.4024,0.0,0.0,0.0,0.0,approaching_wall
2026-07-04 14:06:46.959,1.411,3.593,65.533,1.015,0.0117,0.001,-0.2124,1.0463,0.1,0.0,0.0138,-0.0958,1.3795,0.0,0.0,0.0,0.0,approaching_wall
2026-07-04 14:06:47.059,1.443,3.641,65.533,0.972,0.0129,-0.0003,-0.1881,1.0664,0.1,0.0,-0.017,-0.0671,0.4598,0.0,0.0,0.0,0.0,approaching_wall
2026-07-04 14:06:47.159,1.471,3.673,65.533,0.945,0.0094,0.001,-0.1639,1.0863,0.1,0.0,-0.0469,-0.0479,0.8335,0.0,0.0,0.0,0.0,approaching_wall
2026-07-04 14:06:47.259,1.49,3.703,65.533,0.912,0.0095,0.0008,-0.1396,1.1062,0.1,0.0,0.0415,-0.5748,0.594,0.0,0.0,0.0,0.0,approaching_wall
2026-07-04 14:06:47.359,1.512,3.72,65.533,0.885,0.0092,0.0067,-0.115,1.1263,0.1,0.0,0.0,0.1437,0.8909,0.0,0.0,0.0,0.0,approaching_wall
2026-07-04 14:06:47.459,1.539,3.726,65.533,0.852,0.0094,0.0004,-0.0906,1.1462,0.1,0.0,-0.032,0.115,0.8622,0.0,0.0,0.0,0.0,approaching_wall
2026-07-04 14:06:47.559,1.56,3.688,65.533,0.817,0.0095,0.0001,-0.067,1.1655,0.1,0.0,0.0767,0.0192,0.5556,0.0,0.0,0.0,0.0,approaching_wall
2026-07-04 14:06:47.659,1.589,7.478,65.533,0.79,0.009,0.0016,-0.0447,1.1835,0.1,0.0,-0.0618,0.0862,-0.6419,0.0,0.0,0.0,0.0,approaching_wall
2026-07-04 14:06:47.759,1.645,7.504,65.533,0.763,0.0081,0.0012,-0.0241,1.1998,0.1,0.0,-0.1545,-0.2012,0.8622,0.0,0.0,0.0,0.0,approaching_wall
2026-07-04 14:06:47.859,1.691,7.502,65.533,0.742,0.0084,-0.0004,-0.0048,1.2145,0.1,0.0,-0.1001,0.1916,-1.5999,0.0,0.0,0.0,0.0,approaching_wall
2026-07-04 14:06:47.959,1.719,7.514,65.533,0.736,0.0071,-0.002,0.0134,1.2278,0.1,0.0,-0.0969,-0.0766,0.1437,0.0,0.0,0.0,0.0,approaching_wall
2026-07-04 14:06:48.060,1.748,65.533,65.533,0.7,0.0106,-0.0017,0.0309,1.2397,0.1,0.0,-0.1161,-0.2012,-0.0958,0.0,0.0,0.0,0.0,approaching_wall
2026-07-04 14:06:48.159,1.774,65.533,5.937,0.682,0.007,-0.0003,0.0473,1.2499,0.1,0.0,-0.2663,0.1533,1.0346,0.0,0.0,0.0,0.0,approaching_wall
2026-07-04 14:06:48.259,1.795,65.533,65.533,0.667,0.0081,0.001,0.063,1.2587,0.1,0.0,-0.0415,-0.0958,0.7472,0.0,0.0,0.0,0.0,approaching_wall
