timestamp,lidar_right,lidar_front_right,lidar_front,lidar_left,odom_linear_x,odom_angular_z,pos_x,pos_y,cmd_linear_x,cmd_angular_z,imu_angular_z,imu_accel_x,imu_accel_y,wheel_speed_0,wheel_speed_1,wheel_speed_2,wheel_speed_3,action_label
2026-07-04 14:15:50.331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,idle
2026-07-04 14:15:50.431,1.403,3.249,65.533,1.217,-0.0004,-0.0004,0.0043,2.1408,0.1,0.0,0.5742,-0.1437,-1.7148,0.0,0.0,0.0,0.0,approaching_wall
2026-07-04 14:15:50.531,1.416,3.238,65.533,1.216,0.0059,0.0002,0.0059,2.1388,0.1,0.0,1.6362,0.2491,-0.0096,0.0,0.0,0.0,0.0,approaching_wall
2026-07-04 14:15:50.632,1.399,3.252,65.533,1.219,0.0158,-0.003,0.0145,2.1317,0.1,0.0,0.5262,0.0287,-0.3449,0.0,0.0,0.0,0.0,approaching_wall
2026-07-04 14:15:50.731,1.368,3.264,65.533,1.202,0.0135,0.0005,0.0286,2.1227,0.1,0.0,0.9151,0.5269,0.594,0.0,0.0,0.0,0.0,approaching_wall
2026-07-04 14:15:50.831,1.347,3.302,65.533,1.177,0.0137,-0.0003,0.0466,2.1154,0.1,0.0,0.6541,0.1629,-0.9101,0.0,0.0,0.0,0.0,approaching_wall
2026-07-04 14:15:50.931,1.299,3.33,65.533,1.177,0.0152,-0.0011,0.0702,2.1094,0.1,0.0,0.6072,0.2874,0.0192,0.0,0.0,0.0,0.0,approaching_wall
2026-07-04 14:15:51.031,1.308,3.378,65.533,1.136,0.0148,0.0007,0.0993,2.1055,0.1,0.0,0.5465,0.297,0.1533,0.0,0.0,0.0,0.0,approaching_wall
2026-07-04 14:15:51.131,1.309,3.425,65.533,1.109,0.0116,-0.0008,0.1316,2.104,0.1,0.0,0.2812,0.0287,1.0059,0.0,0.0,0.0,0.0,approaching_wall
2026-07-04 14:15:51.231,1.364,3.468,65.533,1.086,0.0142,-0.0006,0.163,2.1044,0.1,0.0,0.1427,0.0096,1.4849,0.0,0.0,0.0,0.0,approaching_wall
2026-07-04 14:15:51.332,1.403,3.511,65.533,1.063,0.0136,-0.0001,0.1943,2.1057,0.1,0.0,0.082,-0.0862,0.0383,0.0,0.0,0.0,0.0,approaching_wall
2026-07-04 14:15:51.431,1.421,3.564,65.533,1.016,0.0098,0.0004,0.2258,2.1077,0.1,0.0,0.0437,0.0383,0.6227,0.0,0.0,0.0,0.0,approaching_wall
