timestamp,left_arm_joint1_pos,left_arm_joint1_vel,left_arm_joint1_eff,left_arm_joint2_pos,left_arm_joint2_vel,left_arm_joint2_eff,left_arm_joint3_pos,left_arm_joint3_vel,left_arm_joint3_eff,left_arm_joint4_pos,left_arm_joint4_vel,left_arm_joint4_eff,left_arm_joint5_pos,left_arm_joint5_vel,left_arm_joint5_eff,left_arm_joint6_pos,left_arm_joint6_vel,left_arm_joint6_eff,left_arm_drive_joint_pos,left_arm_drive_joint_vel,left_arm_drive_joint_eff,left_arm_left_finger_joint_pos,left_arm_left_finger_joint_vel,left_arm_left_finger_joint_eff,left_arm_left_inner_knuckle_joint_pos,left_arm_left_inner_knuckle_joint_vel,left_arm_left_inner_knuckle_joint_eff,left_arm_right_outer_knuckle_joint_pos,left_arm_right_outer_knuckle_joint_vel,left_arm_right_outer_knuckle_joint_eff,left_arm_right_finger_joint_pos,left_arm_right_finger_joint_vel,left_arm_right_finger_joint_eff,left_arm_right_inner_knuckle_joint_pos,left_arm_right_inner_knuckle_joint_vel,left_arm_right_inner_knuckle_joint_eff,t_sec
1771675545960069123,-3.1415927410125732,0.0,5.3958096470132366e-17,0.39444440603256226,0.0,-19.063247680664062,-0.5044001340866089,0.0,-7.719327926635742,-0.027925267815589905,0.0,-0.012950584292411804,-1.144935965538025,0.0,-2.1265711784362793,-6.230825424194336,0.0,0.010718539357185364,0.05999999865889549,,,0.05999999865889549,,,0.05999999865889549,,,0.05999999865889549,,,0.05999999865889549,,,0.05999999865889549,,,0.0
1771675546058260443,-3.1415927410125732,0.0,5.3958096470132366e-17,0.39444440603256226,0.0,-19.063247680664062,-0.5044001340866089,0.0,-7.719327926635742,-0.027925267815589905,0.0,-0.012950584292411804,-1.144935965538025,0.0,-2.1265711784362793,-6.230825424194336,0.0,0.010718539357185364,0.05999999865889549,,,0.05999999865889549,,,0.05999999865889549,,,0.05999999865889549,,,0.05999999865889549,,,0.05999999865889549,,,0.09819132000000001
1771675546158194397,-3.1415927410125732,0.0,5.3958096470132366e-17,0.39444440603256226,0.0,-19.063247680664062,-0.5044001340866089,0.0,-7.719327926635742,-0.027925267815589905,0.0,-0.012950584292411804,-1.144935965538025,0.0,-2.1265711784362793,-6.230825424194336,0.0,0.010718539357185364,0.05999999865889549,,,0.05999999865889549,,,0.05999999865889549,,,0.05999999865889549,,,0.05999999865889549,,,0.05999999865889549,,,0.19812527400000002
1771675546258186727,-3.1415927410125732,0.0,5.3958096470132366e-17,0.39444440603256226,0.0,-19.063247680664062,-0.5044001340866089,0.0,-7.719327926635742,-0.027925267815589905,0.0,-0.012950584292411804,-1.144935965538025,0.0,-2.1265711784362793,-6.230825424194336,0.0,0.010718539357185364,0.05999999865889549,,,0.05999999865889549,,,0.05999999865889549,,,0.05999999865889549,,,0.05999999865889549,,,0.05999999865889549,,,0.29811760400000004
1771675546358761310,-3.1415927410125732,0.0,5.3958096470132366e-17,0.39444440603256226,0.0,-19.063247680664062,-0.5044001340866089,0.0,-7.719327926635742,-0.027925267815589905,0.0,-0.012950584292411804,-1.144935965538025,0.0,-2.1265711784362793,-6.230825424194336,0.0,0.010718539357185364,0.05999999865889549,,,0.05999999865889549,,,0.05999999865889549,,,0.05999999865889549,,,0.05999999865889549,,,0.05999999865889549,,,0.39869218700000003
1771675546459067423,-3.1415927410125732,0.0,5.3958096470132366e-17,0.39444440603256226,0.0,-19.063247680664062,-0.5044001340866089,0.0,-7.719327926635742,-0.027925267815589905,0.0,-0.012950584292411804,-1.144935965538025,0.0,-2.1265711784362793,-6.230825424194336,0.0,0.010718539357185364,0.05999999865889549,,,0.05999999865889549,,,0.05999999865889549,,,0.05999999865889549,,,0.05999999865889549,,,0.05999999865889549,,,0.4989983
1771675546558974778,-3.1415927410125732,0.0,5.3958096470132366e-17,0.39444440603256226,0.0,-19.063247680664062,-0.5044001340866089,0.0,-7.719327926635742,-0.027925267815589905,0.0,-0.012950584292411804,-1.144935965538025,0.0,-2.1265711784362793,-6.230825424194336,0.0,0.010718539357185364,0.05999999865889549,,,0.05999999865889549,,,0.05999999865889549,,,0.05999999865889549,,,0.05999999865889549,,,0.05999999865889549,,,0.598905655
1771675546659046607,-3.1415927410125732,0.0,5.3958096470132366e-17,0.39444440603256226,0.0,-19.063247680664062,-0.5044001340866089,0.0,-7.719327926635742,-0.027925267815589905,0.0,-0.012950584292411804,-1.144935965538025,0.0,-2.1265711784362793,-6.230825424194336,0.0,0.010718539357185364,0.05999999865889549,,,0.05999999865889549,,,0.05999999865889549,,,0.05999999865889549,,,0.05999999865889549,,,0.05999999865889549,,,0.698977484
1771675546758517578,-3.1415927410125732,0.0,5.3958096470132366e-17,0.39444440603256226,0.0,-19.063247680664062,-0.5044001340866089,0.0,-7.719327926635742,-0.027925267815589905,0.0,-0.012950584292411804,-1.144935965538025,0.0,-2.1265711784362793,-6.230825424194336,0.0,0.010718539357185364,0.05999999865889549,,,0.05999999865889549,,,0.05999999865889549,,,0.05999999865889549,,,0.05999999865889549,,,0.05999999865889549,,,0.7984484550000001
1771675546859039841,-3.1415927410125732,0.0,5.3958096470132366e-17,0.39444440603256226,0.0,-19.063247680664062,-0.5044001340866089,0.0,-7.719327926635742,-0.027925267815589905,0.0,-0.012950584292411804,-1.144935965538025,0.0,-2.1265711784362793,-6.230825424194336,0.0,0.010718539357185364,0.05999999865889549,,,0.05999999865889549,,,0.05999999865889549,,,0.05999999865889549,,,0.05999999865889549,,,0.05999999865889549,,,0.8989707180000001
