t_move,left_arm_joint2_vel
0.0,0.0
0.1000154430000002,0.0
0.19991881499999975,-0.042681161314249
0.2999109350000002,-0.042681161314249
0.3999889369999998,-0.0492643043398857
0.5000820940000001,-0.0492643043398857
0.5999585389999997,-0.0492643043398857
0.6998971410000001,-0.0492643043398857
0.7999582570000001,-0.0492643043398857
0.8999129909999999,-0.0492643043398857
1.0000809840000002,-0.0492643043398857
1.1000634749999998,-0.0492643043398857
1.1999761070000003,-0.0492643043398857
1.299910025,-0.0492643043398857
1.4001893450000003,-0.0492643043398857
1.4999372480000002,-0.0492643043398857
1.60027103,-0.0492643043398857
1.6999931799999999,-0.0492643043398857
1.7993820400000002,-0.0492643043398857
1.9003419410000006,-0.0492643043398857
2.000126475,-0.0492643043398857
2.101172096,-0.0492643043398857
2.2004330970000003,-0.0492643043398857
2.2999294190000006,-0.0492643043398857
2.4002601610000003,-0.0492643043398857
2.5000546250000006,-0.0492643043398857
2.600168407,-0.0492643043398857
2.700083364,-0.0492643043398857
2.79917471,-0.0492643043398857
2.9001729320000003,-0.0492643043398857
3.0000017530000003,-0.0492643043398857
3.0999892730000003,-0.0492643043398857
3.2002276730000006,-0.0492643043398857
3.299903209,-0.0492643043398857
3.3999665100000005,-0.0492643043398857
3.500076206,-0.0492643043398857
3.5999578970000004,-0.0492643043398857
3.699984572,-0.0492643043398857
3.799496264,-0.0492643043398857
3.899975931,-0.0492643043398857
3.999987602,-0.0492643043398857
4.0999318140000005,-0.0492643043398857
4.1999880570000006,-0.0492643043398857
4.2999302,-0.0492643043398857
4.4001632299999995,-0.0492643043398857
4.499913384,-0.0492643043398857
4.600106133000001,-0.0492643043398857
4.699982677,-0.0492643043398857
4.799584899,-0.0492643043398857
4.900021161000001,-0.0492643043398857
5.000156365,-0.0492643043398857
5.100053674000001,-0.0492643043398857
5.200054422,-0.0492643043398857
5.299899304000001,-0.0492643043398857
5.400054706,-0.0492643043398857
5.499923916000001,-0.0492643043398857
5.600215971,-0.0492643043398857
5.700098907,-0.0492643043398857
5.799295649,-0.0492643043398857
5.899941627,-0.0492643043398857
5.999996789,-0.0492643043398857
6.099919223,-0.0492643043398857
6.200095307000001,-0.0492643043398857
6.299885992999999,-0.0492643043398857
6.399970376,-0.0492643043398857
6.501585700000001,-0.0492643043398857
6.600000561999999,-0.0492643043398857
6.6999239610000005,-0.0492643043398857
6.799190044,-0.0492643043398857
6.900049415000001,-0.0492643043398857
6.999974038,-0.0492643043398857
7.099941765,-0.0492643043398857
7.200009435999999,-0.0492643043398857
7.2997911669999995,-0.0492643043398857
7.400223442000001,0.0489599592983722
7.499699785,0.0489599592983722
7.6000747209999995,0.3500856757164001
7.700020658000001,0.3500856757164001
7.7999515220000015,0.3500856757164001
7.899937401,0.3500856757164001
8.000121927999999,0.0
8.099985885000002,0.0
8.199955537000001,0.0
8.299858906,0.0
8.400012173,0.0
8.499905857000002,0.0
8.600209571,0.0
8.69998764,0.0
8.799274144999998,0.0
8.899949729,0.0
8.999887089000001,0.0
9.099917384000001,0.0
9.200199988000001,0.0
9.299863796,0.0
9.399950851,0.0
9.499993902,0.0
9.599948713,0.0
9.700011193000002,0.0
9.799301012,0.0
9.899939266,0.0
9.999988111,0.0
10.100077673000001,0.0
10.200109381,0.0
10.299962361999999,0.0
10.400089457,0.0
10.499951856,0.0
10.599891499000002,0.0
10.700019125,0.0
10.799324574,0.0
10.900004709000001,0.0
11.000185442,0.0
11.10008677,0.0
11.199996575,0.0
11.299883819000001,0.0
11.399975230999999,0.0
11.5000046,0.0
11.600201392000002,-0.0199067965149879
11.700012151,-0.0199067965149879
11.799271309999998,-0.3500856757164001
11.899931189,-0.3500856757164001
12.000116773999999,-0.3500856757164001
12.100053923,-0.3500856757164001
12.200147904000001,0.0
12.299878861,0.0
