timestamp,lidar_right,lidar_front_right,lidar_front,lidar_left,odom_linear_x,odom_angular_z,pos_x,pos_y,cmd_linear_x,cmd_angular_z,imu_angular_z,imu_accel_x,imu_accel_y,wheel_speed_0,wheel_speed_1,wheel_speed_2,wheel_speed_3,distance_travelled,action_label
2026-07-09 11:56:47.064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,idle
2026-07-09 11:56:47.163,1.896,3.428,65.533,1.284,0.0,0.0017,-5.6859,-10.3533,0.1,0.0,-1.1888,-0.115,3.5063,0.0,0.0,0.0,0.0,0.0002,approaching_wall
2026-07-09 11:56:47.264,1.895,3.423,65.533,1.279,0.0027,-0.0035,-5.6851,-10.3513,0.1,0.0,-0.8693,-0.3832,-0.9484,0.0,0.0,0.0,0.0,0.0023,approaching_wall
2026-07-09 11:56:47.363,1.901,2.862,65.533,1.264,0.007,0.0075,-5.6801,-10.3431,0.1,0.0,-0.4453,0.0479,-0.4886,0.0,0.0,0.0,0.0,0.0119,approaching_wall
2026-07-09 11:56:47.464,1.91,2.572,65.533,1.259,0.0086,0.0095,-5.6758,-10.3368,0.1,0.0,-0.294,-0.3545,-0.4694,0.0,0.0,0.0,0.0,0.0195,approaching_wall
2026-07-09 11:56:47.564,1.984,2.476,12.313,1.239,0.0105,0.0155,-5.664,-10.3189,0.1,0.0,0.2812,-0.3257,-0.0096,0.0,0.0,0.0,0.0,0.0409,approaching_wall
2026-07-09 11:56:47.664,2.292,2.552,12.282,1.209,0.0109,0.0184,-5.6546,-10.3023,0.1,0.0,0.4123,-0.2299,0.6706,0.0,0.0,0.0,0.0,0.06,approaching_wall
2026-07-09 11:56:47.763,2.342,3.58,9.35,1.186,0.0115,0.0247,-5.6453,-10.282,0.1,0.0,0.2216,0.3161,-0.3161,0.0,0.0,0.0,0.0,0.0822,approaching_wall
2026-07-09 11:56:47.863,2.379,2.377,9.249,1.153,0.0081,0.0184,-5.6368,-10.2596,0.1,0.0,0.1417,-0.0575,0.6131,0.0,0.0,0.0,0.0,0.106,approaching_wall
2026-07-09 11:56:47.963,2.41,2.252,7.867,1.122,0.0103,0.022,-5.6292,-10.2368,0.1,0.0,0.1672,0.115,0.776,0.0,0.0,0.0,0.0,0.1297,approaching_wall
2026-07-09 11:56:48.064,2.436,2.252,7.843,1.084,0.0091,0.0199,-5.6227,-10.2127,0.1,0.0,0.1587,0.0192,0.2108,0.0,0.0,0.0,0.0,0.1543,approaching_wall
2026-07-09 11:56:48.164,2.473,2.25,7.832,1.055,0.0093,0.0214,-5.6198,-10.2,0.1,0.0,0.0948,0.1437,1.7723,0.0,0.0,0.0,0.0,0.1671,approaching_wall
